Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
12_Fasting_Hip_right_S77	88239346.0	102.0	79779264.0	90.41	101.71	8781747.0	8699517.0	8685914.0	68962.0	9965.0	16906.0	0.16	0.01	1.44	0.0	1.13	3606624.0	4.09	216105.0	0.24	0.0	4.42	0.84	0	3896787	740566
12_Fasting_Hyp_both_S23	649149.0	102.0	286098.0	44.07	101.69	30410.0	30120.0	30089.0	229.0	33.0	59.0	0.17	0.01	1.39	0.0	1.12	13185.0	2.03	860.0	0.13	0.0	53.32	0.44	0	346150	2856
12_Fasting_IC_right_S37	41990033.0	102.0	37905548.0	90.27	101.67	4115665.0	4076066.0	4070000.0	34379.0	4719.0	6567.0	0.17	0.01	1.46	0.01	1.13	1700235.0	4.05	115135.0	0.27	0.0	4.52	0.89	0	1895823	373292
12_Fasting_PFC_right_S52	42028478.0	102.0	37651894.0	89.59	101.7	4955141.0	4911209.0	4901915.0	39894.0	5611.0	7721.0	0.18	0.01	1.45	0.0	1.14	2026026.0	4.82	112142.0	0.27	0.0	4.53	0.79	0	1906020	332396
12_Fasting_SC_right_S12	36424549.0	102.0	32355725.0	88.83	101.69	3573807.0	3536030.0	3532579.0	30094.0	3725.0	7409.0	0.16	0.01	1.43	0.0	1.13	1744636.0	4.79	105158.0	0.29	0.0	5.15	0.94	0	1876520	342510
13_Highfatdiet_Hip_left_S73	46346150.0	102.0	42644868.0	92.01	101.7	4642440.0	4600748.0	4592305.0	36382.0	5185.0	8568.0	0.16	0.01	1.43	0.0	1.14	1784496.0	3.85	113808.0	0.25	0.0	3.01	0.88	0	1395106	407872
13_Highfatdiet_Hyp_both_S57	43575513.0	102.0	39665533.0	91.03	101.7	4116537.0	4079596.0	4072432.0	31719.0	4785.0	7601.0	0.16	0.01	1.42	0.0	1.13	1722666.0	3.95	109219.0	0.25	0.0	3.9	0.87	0	1699071	379024
13_Highfatdiet_IC_left_S81	41391646.0	102.0	37455753.0	90.49	101.68	3973298.0	3931072.0	3925188.0	32714.0	4403.0	10993.0	0.17	0.01	1.46	0.0	1.13	1654491.0	4.0	111687.0	0.27	0.0	4.29	0.95	0	1776351	393364
13_Highfatdiet_PFC_left_S7	44901639.0	102.0	40634246.0	90.5	101.72	4604350.0	4554909.0	4548201.0	36412.0	5342.0	14395.0	0.15	0.01	1.45	0.0	1.14	2115468.0	4.71	124980.0	0.28	0.0	3.66	0.86	0	1641287	385658
13_Highfatdiet_SC_left_S10	22847978.0	102.0	20766641.0	90.89	101.7	2169017.0	2146350.0	2143976.0	18031.0	2366.0	4644.0	0.15	0.01	1.43	0.0	1.13	945629.0	4.14	62133.0	0.27	0.0	3.71	0.99	0	847439	226136
142_2_HIPL_chow_S67	64006912.0	122.0	55615746.0	86.89	121.56	8907871.0	8821250.0	8811792.0	70647.0	9570.0	15862.0	0.31	0.01	1.59	0.0	1.25	2680617.0	4.19	131317.0	0.21	0.0	8.16	0.56	0	5220933	358299
142_2_Hyp_chow_S19	30847045.0	122.0	6630434.0	21.49	120.13	1451933.0	1427287.0	1432415.0	12205.0	1379.0	5934.0	0.79	0.01	1.32	0.0	1.09	6128358.0	19.87	54090.0	0.18	0.0	58.4	0.06	0	18015654	18509
142_2_ICL_chow_S27	35995695.0	122.0	30490830.0	84.71	121.56	4216101.0	4170028.0	4167092.0	35686.0	4306.0	9017.0	0.27	0.01	1.62	0.0	1.26	1431790.0	3.98	78228.0	0.22	0.0	10.44	0.66	0	3757316	237531
142_2_SCL_chow_S21	873453.0	122.0	395937.0	45.33	120.91	90162.0	88934.0	89078.0	785.0	113.0	186.0	0.8	0.01	1.43	0.0	1.09	82145.0	9.4	841.0	0.1	0.0	45.13	0.04	0	394181	349
142_2_ZIL_chow_S6	61018108.0	122.0	52650701.0	86.29	121.64	9895714.0	9806396.0	9785798.0	83871.0	9933.0	16112.0	0.28	0.01	1.73	0.0	1.25	2799328.0	4.59	124060.0	0.2	0.0	8.44	0.48	0	5151067	292952
142_3_HIPL_chow_S59	10138684.0	122.0	9044837.0	89.21	121.65	1569058.0	1554448.0	1552031.0	12389.0	1698.0	2940.0	0.29	0.01	1.72	0.0	1.21	454577.0	4.48	19207.0	0.19	0.0	5.6	0.52	0	567378	52685
142_3_Hyp_chow_S38	55829555.0	122.0	44704314.0	80.07	121.59	9385283.0	9296531.0	9282228.0	77655.0	9551.0	15849.0	0.28	0.01	1.8	0.01	1.27	2947747.0	5.28	110715.0	0.2	0.0	14.06	0.39	0	7849060	217719
142_3_ICL_chow_S5	63024454.0	122.0	52976576.0	84.06	121.61	8577642.0	8486592.0	8480147.0	72130.0	8940.0	16425.0	0.28	0.01	1.67	0.0	1.3	2732843.0	4.34	136218.0	0.22	0.0	10.79	0.6	0	6800653	378164
142_3_SCL_chow_S26	71382758.0	122.0	60767796.0	85.13	121.6	9597883.0	9487091.0	9484190.0	82558.0	9560.0	21575.0	0.31	0.01	1.72	0.0	1.25	3241672.0	4.54	158210.0	0.22	0.0	9.51	0.59	0	6793605	421475
142_3_ZIL_chow_S20	48467869.0	122.0	14640166.0	30.21	118.7	2216765.0	2187459.0	2190614.0	17900.0	2369.0	5882.0	0.92	0.02	1.22	0.01	1.04	3459833.0	7.14	49241.0	0.1	0.0	62.49	0.07	0	30284705	33924
142_4_HIPL_fast_S6	29349058.0	122.0	12555649.0	42.78	120.74	3526283.0	3489038.0	3487347.0	28539.0	4308.0	6089.0	0.81	0.01	1.4	0.0	1.12	2673528.0	9.11	29368.0	0.1	0.0	47.98	0.03	0	14081708	8805
142_4_Hyp_fast_S53	112650787.0	122.0	96205250.0	85.4	121.61	21276768.0	21057509.0	21043740.0	181746.0	21039.0	30243.0	0.3	0.01	1.85	0.01	1.26	7383506.0	6.55	235826.0	0.21	0.0	7.5	0.34	0	8443436	382769
142_4_ICL_fast_S19	50918996.0	122.0	43293295.0	85.02	121.53	6589514.0	6507833.0	6512084.0	57315.0	6625.0	13490.0	0.29	0.01	1.61	0.0	1.3	2166781.0	4.26	117069.0	0.23	0.0	9.9	0.59	0	5041404	300447
142_4_SCL_fast_S16	28119829.0	122.0	8367183.0	29.76	119.74	1774448.0	1753914.0	1752763.0	15825.0	2059.0	3801.0	0.73	0.01	1.24	0.0	1.06	1958571.0	6.97	22421.0	0.08	0.0	63.16	0.04	0	17760406	11248
142_4_ZIL_fast_S20	54657066.0	122.0	43626292.0	79.82	121.35	7674532.0	7590517.0	7587531.0	65261.0	7425.0	14315.0	0.3	0.01	1.53	0.0	1.26	2647095.0	4.84	118942.0	0.22	0.0	14.67	0.46	0	8013463	251274
142_5_HIPL_fast_S9	1420912.0	122.0	1176553.0	82.8	121.6	178887.0	176902.0	176916.0	1394.0	186.0	391.0	0.3	0.01	1.72	0.0	1.2	55626.0	3.91	2612.0	0.18	0.0	12.57	0.53	0	178591	7530
142_5_Hyp_fast_S69	63340039.0	122.0	53544721.0	84.54	121.59	10139219.0	10033012.0	10024033.0	86434.0	9932.0	18820.0	0.33	0.01	1.8	0.01	1.25	3859233.0	6.09	130334.0	0.21	0.0	8.75	0.41	0	5545887	259864
142_5_ICL_fast_S31	72670648.0	122.0	63677664.0	87.63	121.64	11269744.0	11151555.0	11141549.0	98086.0	11125.0	18984.0	0.27	0.01	1.78	0.01	1.25	3261194.0	4.49	162076.0	0.22	0.0	7.12	0.55	0	5170321	399393
142_5_SCL_fast_S64	28106677.0	122.0	23449784.0	83.43	121.5	3409193.0	3367648.0	3366887.0	29663.0	3567.0	9076.0	0.31	0.01	1.62	0.0	1.24	1161906.0	4.13	58933.0	0.21	0.0	11.65	0.57	0	3275780	160274
142_5_ZIL_fast_S15	47796561.0	122.0	39344006.0	82.32	121.54	7987419.0	7910953.0	7898288.0	68195.0	7901.0	13035.0	0.29	0.01	1.69	0.0	1.28	2460517.0	5.15	95890.0	0.2	0.0	11.95	0.38	0	5714434	181714
143_1_HIPL_chow_S9	4445446.0	122.0	1247832.0	28.07	120.14	320446.0	316741.0	316625.0	2571.0	384.0	866.0	0.8	0.01	1.31	0.0	1.07	248579.0	5.59	2712.0	0.06	0.0	66.24	0.03	0	2944989	1334
143_1_Hyp_chow_S7	31379731.0	122.0	26940251.0	85.85	121.61	5379224.0	5329165.0	5321843.0	44221.0	5353.0	7807.0	0.3	0.01	1.75	0.01	1.27	1771052.0	5.64	64339.0	0.21	0.0	7.86	0.44	0	2466041	138048
143_1_ICL_chow_S44	148497429.0	122.0	130508057.0	87.89	121.63	20929588.0	20707415.0	20690086.0	178521.0	21060.0	39921.0	0.29	0.01	1.79	0.01	1.23	6500405.0	4.38	327161.0	0.22	0.0	6.9	0.62	0	10241551	920255
143_1_SCL_chow_S65	71909394.0	122.0	62694174.0	87.18	121.62	9327318.0	9224045.0	9216927.0	79726.0	9547.0	21118.0	0.28	0.01	1.7	0.0	1.23	2993427.0	4.16	152228.0	0.21	0.0	7.81	0.63	0	5616505	453060
143_1_ZIL_chow_S55	61402792.0	122.0	53646931.0	87.37	121.63	11548584.0	11448483.0	11423221.0	96054.0	11614.0	17695.0	0.29	0.01	1.75	0.0	1.24	3247464.0	5.29	118062.0	0.19	0.0	6.79	0.36	0	4169283	221052
143_2_HIPL_chow_S3	25983631.0	122.0	22631686.0	87.1	121.64	3592001.0	3556949.0	3552131.0	28662.0	3782.0	7426.0	0.27	0.01	1.71	0.0	1.22	1201256.0	4.62	49565.0	0.19	0.0	7.54	0.55	0	1958279	142845
143_2_Hyp_chow_S25	41745179.0	122.0	35279949.0	84.51	121.58	6809635.0	6742693.0	6734283.0	56470.0	6955.0	11927.0	0.29	0.01	1.81	0.01	1.25	2365813.0	5.67	86203.0	0.21	0.0	9.16	0.45	0	3825290	187924
143_2_ICL_chow_S70	45962146.0	122.0	38864410.0	84.56	121.63	8366462.0	8290638.0	8275201.0	69926.0	8101.0	13234.0	0.28	0.01	1.85	0.01	1.23	2673115.0	5.82	90503.0	0.2	0.0	9.06	0.37	0	4164062	170056
143_2_SCL_chow_S4	40607867.0	122.0	35559957.0	87.57	121.66	5520240.0	5463976.0	5458175.0	46230.0	5882.0	9953.0	0.27	0.01	1.75	0.01	1.25	1672713.0	4.12	86142.0	0.21	0.0	7.46	0.64	0	3029179	259876
143_2_ZIL_chow_S7	46777662.0	122.0	21286180.0	45.51	120.31	5140633.0	5073884.0	5076373.0	41227.0	6044.0	16989.0	0.86	0.01	1.3	0.0	1.08	4442996.0	9.5	47184.0	0.1	0.0	44.85	0.04	0	20982588	18714
143_3_HIPL_fast_S46	74735414.0	122.0	67699652.0	90.59	121.66	9065968.0	8960549.0	8963375.0	73617.0	9724.0	19252.0	0.27	0.01	1.61	0.0	1.22	2490687.0	3.33	156146.0	0.21	0.0	5.2	0.67	0	3887978	500951
143_3_Hyp_fast_S23	97030563.0	122.0	84962257.0	87.56	121.64	12782393.0	12630527.0	12635493.0	108240.0	12526.0	26134.0	0.29	0.01	1.75	0.01	1.22	4149588.0	4.28	223026.0	0.23	0.0	7.29	0.64	0	7074602	621090
143_3_ICL_fast_S61	61110324.0	122.0	50135359.0	82.04	121.35	8758887.0	8656867.0	8655896.0	76917.0	8454.0	17620.0	0.32	0.01	1.54	0.0	1.25	3405634.0	5.57	134914.0	0.22	0.0	11.69	0.47	0	7147067	287350
143_3_SCL_fast_S13	66168963.0	122.0	26416169.0	39.92	118.6	2989041.0	2949345.0	2951882.0	26116.0	3184.0	7859.0	1.05	0.03	1.21	0.01	1.03	5068957.0	7.66	69823.0	0.11	0.0	52.25	0.06	0	34574311	39703
143_3_ZIL_fast_S10	88133211.0	122.0	77318627.0	87.73	121.63	13115650.0	12973470.0	12963061.0	113889.0	13310.0	25390.0	0.3	0.01	1.7	0.0	1.24	3830874.0	4.35	193417.0	0.22	0.0	7.15	0.55	0	6305272	485021
143_4_HIPL_fast_S48	72467541.0	122.0	62065490.0	85.65	121.49	8752002.0	8651017.0	8650940.0	71185.0	9393.0	20484.0	0.31	0.01	1.54	0.0	1.25	2879944.0	3.97	146677.0	0.2	0.0	9.58	0.6	0	6940729	434701
143_4_Hyp_fast_S16	45812898.0	122.0	37417303.0	81.67	121.6	7302212.0	7223157.0	7220842.0	62196.0	7159.0	12015.0	0.29	0.01	1.82	0.01	1.29	2598883.0	5.67	96313.0	0.21	0.0	12.03	0.41	0	5512524	187875
143_4_ICL_fast_S51	31398324.0	122.0	26228344.0	83.53	121.58	5674543.0	5615918.0	5610445.0	49772.0	5676.0	8650.0	0.31	0.01	1.78	0.01	1.31	1992070.0	6.34	65683.0	0.21	0.0	9.55	0.36	0	2999169	113058
143_4_SCL_fast_S3	64258369.0	122.0	14177589.0	22.06	120.81	3240598.0	3190007.0	3201715.0	28054.0	3493.0	7336.0	0.7	0.01	1.39	0.0	1.13	6662149.0	10.37	55534.0	0.09	0.0	67.41	0.07	0	43318115	44982
143_4_ZIL_fast_S18	43691686.0	122.0	16622853.0	38.05	119.33	2877249.0	2841525.0	2842066.0	23667.0	3336.0	8180.0	0.85	0.02	1.24	0.01	1.06	3975289.0	9.1	46977.0	0.11	0.0	52.69	0.06	0	23020353	26214
143_5_HIPL_fast_S35	26641771.0	122.0	23989275.0	90.04	121.65	3576048.0	3539255.0	3535555.0	28940.0	3809.0	7744.0	0.3	0.01	1.66	0.0	1.23	991186.0	3.72	53563.0	0.2	0.0	5.45	0.59	0	1450699	157048
143_5_Hyp_fast_S12	17175470.0	122.0	8160739.0	47.51	120.3	1930874.0	1904030.0	1905798.0	16242.0	1883.0	6951.0	0.7	0.01	1.3	0.0	1.08	3137355.0	18.27	27505.0	0.16	0.0	34.0	0.06	0	5839566	10305
143_5_ICL_fast_S54	47537612.0	122.0	39493840.0	83.08	121.56	7742480.0	7664230.0	7653118.0	68112.0	7962.0	13288.0	0.3	0.01	1.78	0.01	1.28	2420887.0	5.09	99992.0	0.21	0.0	11.18	0.44	0	5313765	209128
143_5_SCL_fast_S14	93149523.0	122.0	24181790.0	25.96	120.92	7444771.0	7373100.0	7358245.0	64131.0	8310.0	14085.0	0.72	0.01	1.47	0.0	1.15	6188642.0	6.64	76630.0	0.08	0.0	67.29	0.02	0	62683830	18631
143_5_ZIL_fast_S52	45143389.0	122.0	35551187.0	78.75	121.54	7665942.0	7596012.0	7580473.0	66087.0	7743.0	11639.0	0.29	0.01	1.76	0.0	1.27	2371288.0	5.25	87760.0	0.19	0.0	15.45	0.35	0	6975141	158013
144_1_HIPL_chow_S1	26591833.0	122.0	8124758.0	30.55	119.49	1683370.0	1663355.0	1664434.0	13330.0	1795.0	3811.0	0.79	0.02	1.25	0.01	1.06	2141200.0	8.05	20657.0	0.08	0.0	61.27	0.05	0	16291923	13295
144_1_Hyp_chow_S68	137837.0	122.0	79723.0	57.84	121.14	14804.0	14651.0	14613.0	144.0	11.0	36.0	1.01	0.01	1.84	0.0	1.35	5157.0	3.74	188.0	0.14	0.0	38.05	0.24	0	52438	331
144_1_ICL_chow_S28	62063911.0	122.0	51638127.0	83.2	121.49	7594302.0	7510969.0	7508073.0	64071.0	7861.0	14297.0	0.28	0.01	1.58	0.0	1.26	2731219.0	4.4	138894.0	0.22	0.0	11.53	0.65	0	7152454	403217
144_1_SCL_chow_S60	9906593.0	122.0	8117409.0	81.94	121.35	1195973.0	1182707.0	1181905.0	10121.0	1262.0	2685.0	0.31	0.01	1.49	0.0	1.23	425976.0	4.3	22553.0	0.23	0.0	12.94	0.59	0	1282193	58462
144_1_ZIL_chow_S37	72783440.0	122.0	61658113.0	84.71	121.58	12855557.0	12734793.0	12708173.0	108235.0	12955.0	26194.0	0.28	0.01	1.78	0.0	1.24	3581306.0	4.92	147701.0	0.2	0.0	9.75	0.41	0	7097846	298474
144_2_HIPL_chow_S50	50258542.0	122.0	43039276.0	85.64	121.58	6854761.0	6791666.0	6780383.0	55010.0	7574.0	11794.0	0.28	0.01	1.57	0.0	1.23	2048028.0	4.07	94931.0	0.19	0.0	9.55	0.55	0	4799874	276433
144_2_Hyp_chow_S2	39545491.0	122.0	32853493.0	83.08	121.59	6691867.0	6629884.0	6619318.0	55782.0	6831.0	9936.0	0.28	0.01	1.82	0.01	1.26	2536627.0	6.41	78571.0	0.2	0.0	9.92	0.39	0	3922585	154215
144_2_ICL_chow_S24	77023467.0	122.0	25174821.0	32.68	120.64	5115728.0	5040975.0	5054553.0	42669.0	5137.0	13369.0	0.65	0.01	1.34	0.0	1.09	12370617.0	16.06	92917.0	0.12	0.0	51.07	0.06	0	39338894	46218
144_2_SCL_chow_S14	59992515.0	122.0	49992947.0	83.33	121.43	7874124.0	7795890.0	7785910.0	65606.0	7918.0	14690.0	0.3	0.01	1.57	0.0	1.25	2658961.0	4.43	131191.0	0.22	0.0	11.43	0.59	0	6855543	353873
144_2_ZIL_chow_S11	12355717.0	122.0	3076673.0	24.9	120.79	838338.0	825045.0	828509.0	6439.0	943.0	2447.0	0.75	0.01	1.49	0.0	1.12	1523810.0	12.33	9752.0	0.08	0.0	62.65	0.03	0	7741775	3707
144_3_HIPL_chow_S8	25490319.0	122.0	22660076.0	88.9	121.65	3458297.0	3424824.0	3421326.0	26590.0	3493.0	6888.0	0.29	0.01	1.69	0.0	1.22	1069988.0	4.2	50235.0	0.2	0.0	6.13	0.58	0	1562209	147811
144_3_Hyp_chow_S40	39808265.0	122.0	33599434.0	84.4	121.62	6438390.0	6375459.0	6367282.0	53682.0	6356.0	11070.0	0.3	0.01	1.82	0.01	1.28	2156932.0	5.42	84575.0	0.21	0.0	9.5	0.46	0	3784094	183230
144_3_ICL_chow_S21	40807736.0	122.0	35844479.0	87.84	121.62	5023546.0	4966271.0	4965335.0	41799.0	5143.0	11269.0	0.3	0.01	1.73	0.01	1.23	1555289.0	3.81	90832.0	0.22	0.0	7.46	0.67	0	3043768	273368
144_3_SCL_chow_S71	20970773.0	122.0	18212870.0	86.85	121.63	3646134.0	3611636.0	3605597.0	30612.0	3726.0	6199.0	0.3	0.01	1.87	0.01	1.23	1062592.0	5.07	42543.0	0.2	0.0	7.46	0.42	0	1564676	88092
144_3_ZIL_chow_S39	30637476.0	122.0	26308172.0	85.87	121.62	4557568.0	4511950.0	4504249.0	37491.0	4681.0	11147.0	0.29	0.01	1.76	0.0	1.25	1306414.0	4.26	60004.0	0.2	0.0	9.15	0.52	0	2803558	159328
144_4_HIPL_fast_S15	44623222.0	122.0	17273784.0	38.71	121.07	5029004.0	4977831.0	4972555.0	41447.0	5837.0	9165.0	0.62	0.01	1.45	0.0	1.13	4029170.0	9.03	40606.0	0.09	0.0	52.13	0.04	0	23261813	17849
144_4_Hyp_fast_S13	40666899.0	122.0	30259309.0	74.41	121.11	5968633.0	5904624.0	5901920.0	50932.0	5844.0	9937.0	0.37	0.01	1.56	0.01	1.26	2674397.0	6.58	83811.0	0.21	0.0	18.51	0.3	0	7527382	122000
144_4_ICL_fast_S4	20155839.0	122.0	6626553.0	32.88	120.85	1847530.0	1826437.0	1827800.0	15243.0	1822.0	2665.0	0.61	0.01	1.38	0.0	1.13	1506951.0	7.48	15148.0	0.08	0.0	59.54	0.03	0	12001140	6047
144_4_SCL_fast_S43	105326961.0	122.0	93659044.0	88.92	121.63	14408612.0	14245661.0	14239522.0	125447.0	14695.0	28948.0	0.28	0.01	1.75	0.0	1.26	4256982.0	4.04	235911.0	0.22	0.0	6.17	0.64	0	6500719	674305
144_4_ZIL_fast_S47	52237160.0	122.0	47025375.0	90.02	121.64	7701971.0	7621165.0	7613873.0	65610.0	7752.0	14736.0	0.3	0.01	1.76	0.01	1.23	1967309.0	3.77	107663.0	0.21	0.0	5.45	0.56	0	2844531	292282
144_5_HIPL_fast_S56	41946439.0	122.0	36570110.0	87.18	121.64	6296876.0	6231675.0	6226142.0	52191.0	6517.0	12026.0	0.29	0.01	1.76	0.0	1.22	1958140.0	4.67	74889.0	0.18	0.0	7.49	0.49	0	3138010	205290
144_5_Hyp_fast_S10	48877298.0	122.0	6677343.0	13.66	120.71	1353702.0	1327814.0	1335447.0	11330.0	1335.0	5590.0	0.66	0.01	1.51	0.0	1.18	8828714.0	18.06	81616.0	0.17	0.0	68.06	0.05	0	33265187	24438
144_5_ICL_fast_S36	16460550.0	122.0	14472636.0	87.92	121.64	2360139.0	2333393.0	2332253.0	20423.0	2397.0	5066.0	0.29	0.01	1.77	0.01	1.22	714542.0	4.34	35279.0	0.21	0.0	6.96	0.56	0	1145895	92198
144_5_SCL_fast_S12	11083068.0	122.0	9791967.0	88.35	121.58	1431305.0	1414716.0	1413988.0	12500.0	1383.0	3434.0	0.29	0.01	1.75	0.01	1.24	422630.0	3.81	24260.0	0.22	0.0	6.98	0.64	0	773306	70905
144_5_ZIL_fast_S33	51371086.0	122.0	44674521.0	86.96	121.63	6428015.0	6349297.0	6347742.0	52953.0	6636.0	20684.0	0.29	0.01	1.75	0.0	1.23	2003611.0	3.9	96843.0	0.19	0.0	8.36	0.59	0	4293127	302984
145_1_HIPL_chow_S22	129378449.0	122.0	114210477.0	88.28	121.64	16549160.0	16369365.0	16356165.0	138374.0	16644.0	37977.0	0.28	0.01	1.72	0.0	1.22	5059990.0	3.91	283104.0	0.22	0.0	6.92	0.67	0	8957596	867282
145_1_Hyp_chow_S2	24239261.0	122.0	1350586.0	5.57	118.94	289397.0	285162.0	285823.0	2454.0	276.0	844.0	0.74	0.02	1.31	0.01	1.11	1426976.0	5.89	14289.0	0.06	0.0	88.47	0.01	0	21444986	2424
145_1_ICL_chow_S1	60869908.0	122.0	51059402.0	83.88	121.54	9126284.0	9035668.0	9024997.0	77356.0	9019.0	14912.0	0.32	0.01	1.74	0.01	1.26	3213815.0	5.28	132978.0	0.22	0.0	10.12	0.5	0	6159395	304318
145_1_SCL_chow_S49	27174411.0	122.0	23420277.0	86.19	121.56	3558889.0	3520807.0	3517779.0	30090.0	3710.0	7310.0	0.31	0.01	1.66	0.0	1.23	1126061.0	4.14	57591.0	0.21	0.0	8.86	0.6	0	2407449	163033
145_1_ZIL_chow_S66	35670011.0	122.0	28658111.0	80.34	121.43	5395841.0	5343468.0	5335048.0	44850.0	5319.0	10624.0	0.33	0.01	1.62	0.0	1.24	1773368.0	4.97	70359.0	0.2	0.0	14.08	0.41	0	5021938	146235
145_2_HIPL_chow_S8	25320237.0	122.0	10413017.0	41.13	121.09	2779814.0	2747457.0	2747118.0	22355.0	3038.0	7303.0	0.57	0.0	1.49	0.0	1.12	4115986.0	16.26	31694.0	0.13	0.0	42.37	0.13	0	10726628	32912
145_2_Hyp_chow_S41	99722867.0	122.0	87910740.0	88.16	121.65	13296585.0	13160047.0	13149975.0	110385.0	13343.0	22882.0	0.29	0.01	1.72	0.01	1.25	4273367.0	4.29	214859.0	0.22	0.0	6.71	0.63	0	6695283	628618
145_2_ICL_chow_S23	49781533.0	122.0	19395733.0	38.96	120.92	4570111.0	4501057.0	4516380.0	37394.0	4728.0	11609.0	0.74	0.01	1.45	0.0	1.11	11022241.0	22.14	107023.0	0.21	0.0	38.61	0.07	0	19221687	34849
145_2_SCL_chow_S34	63097785.0	122.0	55271340.0	87.6	121.64	7623185.0	7543253.0	7537418.0	63153.0	7789.0	14825.0	0.3	0.01	1.74	0.01	1.21	1995526.0	3.16	133709.0	0.21	0.0	8.35	0.67	0	5274025	423185
145_2_ZIL_chow_S11	38450221.0	122.0	33251889.0	86.48	121.59	5917523.0	5858899.0	5850493.0	49073.0	5861.0	12096.0	0.3	0.01	1.72	0.0	1.23	1910169.0	4.97	78810.0	0.2	0.0	7.86	0.49	0	3021020	188333
145_3_HIPL_fast_S45	132166469.0	122.0	118810635.0	89.89	121.65	18337403.0	18141944.0	18136463.0	145081.0	18340.0	37519.0	0.29	0.01	1.71	0.0	1.21	4924938.0	3.73	259604.0	0.2	0.0	5.61	0.58	0	7405646	765646
145_3_Hyp_fast_S57	38446689.0	122.0	32929282.0	85.65	121.61	5193046.0	5134534.0	5134456.0	44350.0	5272.0	8968.0	0.3	0.01	1.76	0.01	1.25	1856060.0	4.83	81333.0	0.21	0.0	8.75	0.57	0	3361065	218949
145_3_ICL_fast_S22	38605462.0	122.0	15509625.0	40.17	120.93	3683269.0	3632046.0	3639325.0	30998.0	3849.0	9097.0	0.76	0.01	1.45	0.0	1.12	3568016.0	9.24	31427.0	0.08	0.0	50.46	0.04	0	19480951	15443
