data,run,cell_cluster,module,name,genes,ortholog_ensg,ortholog_name,pkMs,gene_loadings
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000064624,ENSG00000212360,RNU6-1177P,0.636128698007012,0.114121805265594
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000088307,NA,NA,0.634970543368754,0.113914031746636
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000092815,NA,NA,0.630002901336424,0.113022834291752
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000112557,NA,NA,0.622391879286363,0.111657413145071
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000118287,NA,NA,0.621278332879719,0.111457642365084
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000073103,NA,NA,0.620489106694182,0.111316054794301
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000085707,NA,NA,0.620204576909601,0.111265010009228
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000109702,NA,NA,0.616846460679233,0.110662562284889
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000107089,NA,NA,0.615363162554933,0.110396457862588
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000089680,NA,NA,0.611176766282683,0.109645416286185
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000065411,ENSG00000284112,MIR195,0.61020471685548,0.109471030134786
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000086504,NA,NA,0.594389757045464,0.10663381846775
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000057605,NA,NA,0.590825755412879,0.105994434799706
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000097700,NA,NA,0.590391166790256,0.105916469384347
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000100794,NA,NA,0.586524766461334,0.105222835239561
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000098397,NA,NA,0.576901689435732,0.103496450428103
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000058741,ENSG00000188368,PRR19,0.569246588072973,0.10212312143077
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000120561,NA,NA,0.568702833834087,0.10202557164948
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000097584,NA,NA,0.557804538582641,0.100070412053145
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000104403,NA,NA,0.557775321455864,0.100065170486049
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000106735,NA,NA,0.557667045717211,0.100045745764605
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000034947,ENSG00000184988,TMEM106A,0.556717700280613,0.0998754327204287
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000114752,NA,NA,0.553245237730035,0.0992524712092899
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000081892,NA,NA,0.551753090072227,0.0989847791762701
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000026413,ENSG00000081277,PKP1,0.54645779464586,0.0980348005392975
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000110060,NA,NA,0.543950383711092,0.0975849697687085
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000065468,ENSG00000199121,MIR26B,0.543872652737056,0.0975710247932503
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000112511,NA,NA,0.533023545692029,0.0956246895856464
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000112093,NA,NA,0.529864413111144,0.0950579396271342
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000052368,NA,NA,0.524209736306733,0.0940434877919402
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000025538,ENSG00000129103,SUMF2,0.522848692927818,0.0937993159318539
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000103948,NA,NA,0.518459057302359,0.0930118131142557
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000021213,NA,NA,0.517560765071245,0.0928506590405724
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000085099,NA,NA,0.515641695916026,0.0925063770782757
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000108375,NA,NA,0.508567554168546,0.0912372725252875
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000111646,NA,NA,0.508327674904722,0.0911942380658783
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000102522,NA,NA,0.503236757476112,0.0902809249435004
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000077227,NA,NA,0.496109338522587,0.0890022624332115
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000082079,ENSG00000088305,DNMT3B,0.493511481998218,0.0885362056787984
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000029195,ENSG00000134962,KLB,0.488586448048347,0.0876526521351296
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000105554,NA,NA,0.484899403817946,0.0869911945637518
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000043243,ENSG00000167483,NIBAN3,0.464361387776451,0.0833066642563276
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000085962,NA,NA,0.461870402140545,0.0828597801925354
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000065634,NA,NA,0.460158081816651,0.0825525890735559
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000052005,NA,NA,0.459755627565655,0.0824803885804726
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000102941,NA,NA,0.440981596054347,0.0791123179763699
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000107723,NA,NA,0.433972244860694,0.0778548368810092
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000102561,NA,NA,0.429286888723835,0.0770142816563734
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000111052,NA,NA,0.428595004210905,0.0768901572301396
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000074479,NA,NA,0.415717892685957,0.0745799970087292
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000042414,ENSG00000147596,PRDM14,0.380258710288117,0.0682186020250385
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000033634,ENSG00000144035,NAT8,0.375034030029783,0.0672812917843835
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000057541,ENSG00000091127,PUS7,0.365347648675665,0.0655435501448595
dmb,ds4_mcs20_pF,HPF,orangered,HPF__23,ENSMUSG00000098879,NA,NA,0.365320582935093,0.0655386945375201
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000084267,NA,NA,0.814459252665602,0.129014910019559
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000086531,NA,NA,0.792183902983249,0.125486369794228
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000081467,NA,NA,0.764884683222003,0.121162020393599
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00002075153,NA,NA,0.750564197827777,0.118893575252206
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000106930,NA,NA,0.735041264196489,0.116434655571294
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000072789,NA,NA,0.722530180775259,0.114452829842684
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000083237,NA,NA,0.714856923455712,0.113237342880754
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000065510,ENSG00000199051,MIR361,0.704747176489837,0.111635902304256
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000098361,NA,NA,0.7034720543849,0.111433915816787
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000106495,NA,NA,0.694138565968921,0.109955438944905
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000118761,ENSG00000206727,SNORD116-9,0.693230317134686,0.109811567239549
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000103030,NA,NA,0.689818014822077,0.109271039429987
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000118956,ENSG00000283575,U6,0.687829254531231,0.108956008654495
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000105057,NA,NA,0.683875586052903,0.108329725410356
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000120520,NA,NA,0.671067896118234,0.106300915547773
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000110656,NA,NA,0.670920000169129,0.106277488000595
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000069189,ENSG00000188818,ZDHHC11,0.668332909293357,0.105867678307283
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000087040,NA,NA,0.668145113368975,0.105837930380414
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000100923,NA,NA,0.665082593251936,0.105352810030882
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000058176,NA,NA,0.663843270976078,0.105156494436969
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000103676,NA,NA,0.658430493214825,0.104299080105265
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000050900,NA,NA,0.656306565016433,0.103962637975709
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000027794,ENSG00000120669,SOHLH2,0.652161759099478,0.103306077490118
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000086127,NA,NA,0.640277296234591,0.101423511969343
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000119339,NA,NA,0.638713784963156,0.101175843021709
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000086042,NA,NA,0.637619919956524,0.101002568674414
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000057047,NA,NA,0.630825748676015,0.0999263338676464
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000119508,NA,NA,0.62959865417793,0.0997319552222596
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000091756,NA,NA,0.626211882412303,0.099195471594418
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000004630,ENSG00000174788,PCP2,0.625586379746116,0.0990963884666483
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000105900,NA,NA,0.623217661287433,0.098721170188007
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000112127,NA,NA,0.622819146431163,0.0986580432014146
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000083436,NA,NA,0.622402396185905,0.0985920276270116
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000108345,NA,NA,0.618144726741871,0.0979175889262205
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000113347,NA,NA,0.618019244938787,0.0978977119053861
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000100733,NA,NA,0.610349587687538,0.0966827952144499
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000101226,NA,NA,0.609052169656196,0.0964772769272876
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000049751,ENSG00000241343,RPL36A,0.608803810952204,0.096437935516722
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000063314,NA,NA,0.607331014015664,0.0962046362281169
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000114537,NA,NA,0.605094409519666,0.0958503455415587
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000121042,NA,NA,0.603856723116559,0.0956542890790571
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000084147,NA,NA,0.600839989688033,0.0951764215975835
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000116976,NA,NA,0.598614363298517,0.0948238699046156
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000104046,NA,NA,0.595793905640627,0.0943770936051804
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000097357,NA,NA,0.592264725699212,0.0938180517242094
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000081565,NA,NA,0.59030543536523,0.0935076891550403
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000119969,NA,NA,0.584777272513944,0.0926319971784338
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000047286,ENSG00000173285,OR10K1,0.583461178208941,0.0924235204648579
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000075045,NA,NA,0.576283468436303,0.0912865310115088
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000108352,NA,NA,0.571050599420933,0.0904576152333988
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000110388,NA,NA,0.570970833768563,0.0904449799070404
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000080748,NA,NA,0.568829048310514,0.0901057090874788
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000108937,NA,NA,0.564035730002777,0.0893464206047907
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000114785,NA,NA,0.561697159691514,0.0889759779616571
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000116754,NA,NA,0.556810472267462,0.0882018992876849
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000096029,ENSG00000184478,OR56A3,0.556313941490178,0.0881232460299024
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000038651,ENSG00000153157,SYCP2L,0.555624034599159,0.0880139609119848
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000086156,NA,NA,0.55553787079713,0.0880003120828636
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000069044,ENSG00000114374,USP9Y,0.553868005227796,0.0877357960184107
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000119823,ENSG00000206727,SNORD116-9,0.553768962882703,0.0877201071558942
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000104264,NA,NA,0.553765763908261,0.087719600420415
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000009185,NA,NA,0.553130460666308,0.0876189648265194
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000099309,NA,NA,0.552493424229866,0.0875180546849037
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000086994,NA,NA,0.550799657674681,0.0872497525703459
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000076899,NA,NA,0.550141572751015,0.0871455082303939
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000115228,NA,NA,0.545701649238641,0.0864421994637884
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000076922,NA,NA,0.545515780850924,0.0864127568695292
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000093577,NA,NA,0.545369261904079,0.0863895474472268
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000089909,NA,NA,0.545232530329468,0.0863678883995364
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000063442,NA,NA,0.536871255026078,0.0850434155331713
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000066512,ENSG00000142515,KLK3,0.536279427651362,0.0849496667602939
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000108448,NA,NA,0.535924924590702,0.0848935114887772
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000013878,ENSG00000120925,RNF170,0.532313992394218,0.0843215195924466
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000051224,ENSG00000176896,TCEANC,0.530919889712532,0.0841006859148292
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000116959,NA,NA,0.528992577584007,0.0837953888726168
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000118112,NA,NA,0.527592493671438,0.0835736077345075
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000082920,NA,NA,0.527275351759691,0.0835233706783581
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00002076022,NA,NA,0.527247919861425,0.0835190253119388
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000019489,ENSG00000125726,CD70,0.525843126969183,0.0832964982450591
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000080002,NA,NA,0.521702213219935,0.0826405543006451
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00002075018,NA,NA,0.521645670287497,0.0826315975832686
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000106071,NA,NA,0.521599480518569,0.0826242808650136
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000111637,NA,NA,0.52011733775097,0.0823895011443926
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00002076327,ENSG00000252656,RN7SKP88,0.517952792738718,0.0820466250838961
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000113055,NA,NA,0.510982708315081,0.0809425246494037
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000117508,NA,NA,0.509942301934541,0.0807777184480747
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000114419,NA,NA,0.508931716029111,0.0806176359771232
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000118521,NA,NA,0.507854709634203,0.0804470321284042
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000101162,NA,NA,0.507488154486615,0.0803889677387758
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000081811,NA,NA,0.50696487349632,0.0803060770973386
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000041476,ENSG00000091482,SMPX,0.506270736816919,0.0801961219572365
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000039728,ENSG00000165970,SLC6A5,0.50502140774795,0.0799982212312147
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000064371,NA,NA,0.503339659083365,0.0797318228178787
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000076878,NA,NA,0.502188771955183,0.0795495158469663
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000111870,NA,NA,0.501457276963794,0.0794336429408817
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000112502,NA,NA,0.49786946285765,0.0788653130796195
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000104549,NA,NA,0.491385185645032,0.0778381672299165
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000030680,ENSG00000280789,PAGR1,0.489823008549351,0.0775907096231985
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000118065,NA,NA,0.489095887407625,0.0774755295594126
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000115278,NA,NA,0.488228530122031,0.0773381353045255
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000083804,NA,NA,0.485772091603607,0.0769490216768201
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000119336,NA,NA,0.48314823587305,0.0765333882244723
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000088094,NA,NA,0.467504820600128,0.0740553835763215
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000022245,ENSG00000188779,SKOR1,0.465932511572405,0.0738063210147868
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000113767,NA,NA,0.465931989182112,0.0738062382652368
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000120593,NA,NA,0.464708528655391,0.0736124352612796
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000104234,NA,NA,0.464507842555035,0.0735806454582968
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000098439,NA,NA,0.453472327300577,0.0718325579966913
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000120576,NA,NA,0.441803693161542,0.0699841809556403
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000117115,NA,NA,0.440473372771363,0.0697734507504465
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000078380,NA,NA,0.438862742068075,0.0695183178207397
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000026805,ENSG00000125492,BARHL1,0.438197622959253,0.0694129592264379
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000037845,ENSG00000255561,FDXACB1,0.429561871616764,0.0680450078172593
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000065435,NA,NA,0.420833977205724,0.0666624604296333
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000106968,NA,NA,0.414062742645873,0.0655898589279605
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000099543,NA,NA,0.405814273842281,0.0642832552433542
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000097921,NA,NA,0.405283384211715,0.0641991593506578
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000120761,NA,NA,0.384872062812858,0.0609658916518316
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000120093,NA,NA,0.384782985177175,0.0609517812551299
dmb,ds4_mcs20_pF,HPF,turquoise1,HPF__37,ENSMUSG00000098067,NA,NA,0.368423382979057,0.0583603285843693
